airport_id,airport_code,city_name,state_name,country
503a43fd-41e4-4c26-8f74-84e52bf8ab30,RNO,"Reno, NV",Nevada,USA
f74fd424-4aa7-4880-8f80-24399c46d597,BIL,"Billings, MT",Montana,USA
c0f229af-8e48-470f-8505-b8399540b0be,GTF,"Great Falls, MT",Montana,USA
16559568-a161-4802-b453-f1ab68596c57,ASE,"Aspen, CO",Colorado,USA
0572fa18-4ddc-4888-9f3f-3d38b550b239,AKN,"King Salmon, AK",Alaska,USA
3b2cddf2-a351-4c22-a4e5-04d0cd1386bd,MCI,"Kansas City, MO",Missouri,USA
225ec514-db98-480e-955f-b802714f825d,ILM,"Wilmington, NC",North Carolina,USA
b5ccc596-34ed-49fd-83ab-841437d45c57,DCA,"Washington, DC",Virginia,USA
582ec2db-11ce-4102-8a2e-9121f5afb71f,STL,"St. Louis, MO",Missouri,USA
125b2e15-9c3b-4489-8233-e769ea6b2424,ITH,"Ithaca/Cortland, NY",New York,USA
292cb2b3-2331-4246-be21-46c7a07edfb4,SGU,"St. George, UT",Utah,USA
b32d568d-a0a6-426b-8f0e-eef800d60ed6,BRW,"Barrow, AK",Alaska,USA
7629d8c5-8643-47dc-8de5-6c56226cb2a6,HHH,"Hilton Head, SC",South Carolina,USA
c558881e-bac3-4479-b5f5-f38658e57bbd,OGS,"Ogdensburg, NY",New York,USA
fd70545b-d846-4c5a-b13d-b75552b06353,MMH,"Mammoth Lakes, CA",California,USA
04336af2-5d77-4a71-a2d8-d419efaf1081,HLN,"Helena, MT",Montana,USA
f18ef4c5-7308-4e50-931b-02192f9b51c9,PBI,"West Palm Beach/Palm Beach, FL",Florida,USA
6d9589f6-8707-4154-9594-d73b3845ec2a,SLC,"Salt Lake City, UT",Utah,USA
431ba1db-7a7c-4c91-acb8-da30966f2d43,PQI,"Presque Isle/Houlton, ME",Maine,USA
6aeaeac2-147c-4f42-88f9-74f84157ef48,GNV,"Gainesville, FL",Florida,USA
2df6b8de-b0c7-46d7-b928-6716500c6e22,SIT,"Sitka, AK",Alaska,USA
3d3b6e49-0bb7-4800-aa6c-075289067fcf,OGD,"Ogden, UT",Utah,USA
e5ac29d6-6c15-411d-8290-8de5ed924126,ACV,"Arcata/Eureka, CA",California,USA
88396b64-d607-489f-85e6-fcc00f8bb8bb,GJT,"Grand Junction, CO",Colorado,USA
5fbe46e9-cba0-4fc8-9c04-0a85eb4dd9e3,FLG,"Flagstaff, AZ",Arizona,USA
5f492e94-ab41-4e05-bbf4-2f197549605d,PLN,"Pellston, MI",Michigan,USA
1e154a43-2078-4db5-ad37-bade8512d486,BGM,"Binghamton, NY",New York,USA
c2daa5ea-98f2-4861-bec5-780636f6c88a,LFT,"Lafayette, LA",Louisiana,USA
d403c36f-89e8-4210-ac7f-496e3b99c264,PRC,"Prescott, AZ",Arizona,USA
2e7d43ef-8f28-4319-95ba-7e07ebd96723,MSO,"Missoula, MT",Montana,USA
5b741f1a-e3c4-477c-b51f-ca579f5f79e7,ABE,"Allentown/Bethlehem/Easton, PA",Pennsylvania,USA
35bcdf5b-6585-4c46-8b28-4511ecfe0374,HGR,"Hagerstown, MD",Maryland,USA
46006ac9-7246-4a10-ad2b-248fd02bb005,ILG,"Wilmington, DE",Delaware,USA
e720de72-0423-4f14-8760-c5e5d43d4e13,AMA,"Amarillo, TX",Texas,USA
34e85411-a5e0-4e9d-bdf9-2357b163a5a1,ACT,"Waco, TX",Texas,USA
53216365-c56d-4a05-a722-02be35b9bca0,SRQ,"Sarasota/Bradenton, FL",Florida,USA
e28c70a1-f12e-4074-8b3a-a254dd38b835,ATW,"Appleton, WI",Wisconsin,USA
acad9ea3-bbc0-4e02-953a-1e5bacc059bf,OGG,"Kahului, HI",Hawaii,USA
0f157c40-be79-43ea-b8fd-7b712766044f,LAW,"Lawton/Fort Sill, OK",Oklahoma,USA
c73b545c-a802-4592-b03b-11c3432b43cc,BIH,"Bishop, CA",California,USA
14d48865-7bee-41ae-b7ca-8d7791e3978b,MEM,"Memphis, TN",Tennessee,USA
3d847028-0eec-4ffc-bd90-4550016b65f8,SHD,"Staunton, VA",Virginia,USA
2cb6a34e-3f9e-4de1-a18d-830851d18067,SPN,"Saipan, TT",U.S. Pacific Trust Territories and Possessions,USA
1af5cb77-8c03-418e-82b7-d0276ae8f5ac,HSV,"Huntsville, AL",Alabama,USA
ce6713af-f3c3-48a4-b1c4-3c9abf6d0e08,BZN,"Bozeman, MT",Montana,USA
679f888e-2a46-4607-b0f9-d1604a6b16b5,ERI,"Erie, PA",Pennsylvania,USA
cbba0db2-22c8-4685-8f14-77aca8096c07,YNG,"Youngstown/Warren, OH",Ohio,USA
89c3e2f4-5e5e-4d35-abab-2da0da05814e,DUT,"Unalaska, AK",Alaska,USA
9e0c80e0-222b-4281-bf82-230692f56573,GST,"Gustavus, AK",Alaska,USA
48c482dc-e655-4c47-b03d-9b9b9d446a33,DDC,"Dodge City, KS",Kansas,USA
16f2c442-0de7-4d56-abe6-1ff8e1ed9662,PIA,"Peoria, IL",Illinois,USA
3bd10b60-e160-4650-bf59-a53cc53fc8d3,HNL,"Honolulu, HI",Hawaii,USA
143b001a-5d5e-4101-a3bb-55dcaec2e247,DHN,"Dothan, AL",Alabama,USA
b454b17f-35f7-41fc-9284-e6a23e03c25c,EWR,"Newark, NJ",New Jersey,USA
784cb39b-225a-4c99-b4f8-3c543bcaa693,FAT,"Fresno, CA",California,USA
c12e6e50-e205-46a4-af0c-04ee04d2ec84,SBA,"Santa Barbara, CA",California,USA
921bdd24-977e-4110-a2b4-088d62456ac6,PAH,"Paducah, KY",Kentucky,USA
d0da5109-af57-4229-be4b-7a37b4e246de,FAR,"Fargo, ND",North Dakota,USA
e989087c-9b86-4245-84d2-6f3621053132,ALS,"Alamosa, CO",Colorado,USA
193e388b-35f4-4259-80dd-16a87827d06a,LIH,"Lihue, HI",Hawaii,USA
8c1fa00f-3afd-4be1-9f74-090615ed549d,USA,"CONCORD, NC",North Carolina,USA
b31f96ed-243f-4258-9f75-2d481664bedf,ELP,"El Paso, TX",Texas,USA
66597ea3-8801-4d0d-84ab-1a9f22ec845f,SJT,"San Angelo, TX",Texas,USA
891c4db1-ca97-4b0e-a511-afff5d2e73b7,IMT,"Iron Mountain/Kingsfd, MI",Michigan,USA
3f796d5f-20f4-4eb7-ad91-2e0d8b187103,GSO,"Greensboro/High Point, NC",North Carolina,USA
24434c1c-0501-4fc8-8977-f2ad0d4f793f,EAR,"Kearney, NE",Nebraska,USA
14fdeb26-5731-4f31-b262-f83448dda02b,HOB,"Hobbs, NM",New Mexico,USA
77570b61-5db8-4250-928e-2538d8f77270,ITO,"Hilo, HI",Hawaii,USA
b2466009-e2e1-4e7e-9910-42a3d589eb5e,ALW,"Walla Walla, WA",Washington,USA
926dd741-578b-495a-b3c1-bd01f6a4b421,RDU,"Raleigh/Durham, NC",North Carolina,USA
acb39e9b-b842-43bf-b35d-53806e4c58c5,JAN,"Jackson/Vicksburg, MS",Mississippi,USA
f527513e-244a-41eb-9577-171386f23e67,OTZ,"Kotzebue, AK",Alaska,USA
21f822ef-694e-48c0-8d42-33b6fd391b77,TLH,"Tallahassee, FL",Florida,USA
f20c1187-5339-4de3-bfa8-1477541cb17f,GRK,"Killeen, TX",Texas,USA
8ae91c2f-5ed7-406d-9529-033d35e8bdb7,DBQ,"Dubuque, IA",Iowa,USA
e37f48a6-8e17-4bfc-a09c-ce1f7cf4bb4b,HTS,"Ashland, WV",West Virginia,USA
364f1f22-162d-4733-b2df-b27ac7607dd6,PAE,"Everett, WA",Washington,USA
ae9f6301-b4c9-41b8-ad4f-6e97a53f2720,IAH,"Houston, TX",Texas,USA
3acb5e38-03d3-4b11-b8ba-2c708dc99dac,SCC,"Deadhorse, AK",Alaska,USA
eba4f347-e55d-4443-8e2c-43b0837f1a67,MTJ,"Montrose/Delta, CO",Colorado,USA
7ef7897d-880f-43d1-8b26-e38db64e024c,LBL,"Liberal, KS",Kansas,USA
4a371d81-f413-4ce6-bda2-ac00956eddc0,CRW,"Charleston/Dunbar, WV",West Virginia,USA
9dfd4835-0c2f-48d3-ab48-842c04bc9966,FNT,"Flint, MI",Michigan,USA
e1c00141-4c40-4ce8-b7b4-f8834f599a1c,YKM,"Yakima, WA",Washington,USA
ade314d5-7258-4eb0-8251-b8f847741b8d,SPS,"Wichita Falls, TX",Texas,USA
f6bb1638-9b02-480d-ada2-69c1f9dd4eeb,SJC,"San Jose, CA",California,USA
52141a2e-a2b2-4319-aea7-e592c6977b10,PSP,"Palm Springs, CA",California,USA
ea43760d-8add-463f-b8fb-2810e7c82c30,LRD,"Laredo, TX",Texas,USA
9d26685d-ba4f-4a0a-bb75-81e50b8071ab,MEI,"Meridian, MS",Mississippi,USA
403e99c4-0c29-484f-9596-038013bcf932,BRD,"Brainerd, MN",Minnesota,USA
ee2b56e7-dd0a-4aa9-86c5-5b71aa956118,CHA,"Chattanooga, TN",Tennessee,USA
a507f7fa-c497-4979-8153-f41f1fe7ec1c,APN,"Alpena, MI",Michigan,USA
cc2e0e89-473f-46f7-a43d-3b93f03aad56,YAK,"Yakutat, AK",Alaska,USA
22591f98-7604-4307-a4fb-df91a200357a,BKG,"Branson, MO",Missouri,USA
90b8bab1-5e21-4c3e-9d25-2c55182f7ef8,MKE,"Milwaukee, WI",Wisconsin,USA
71ef20a9-8f93-4386-aabb-4496a96dffbf,CMH,"Columbus, OH",Ohio,USA
695bb84f-9c27-4003-bf1e-9ea026ddf9a8,BWI,"Baltimore, MD",Maryland,USA
c8499052-d485-4baa-b83b-afd9cf3c0845,MIA,"Miami, FL",Florida,USA
9be23cc2-f494-4961-bd1f-3e8f62cab1b1,FWA,"Fort Wayne, IN",Indiana,USA
d23d45e0-842b-44b8-8791-e2e00fbe9f54,HDN,"Hayden, CO",Colorado,USA
416baeaa-778e-46e9-a9d7-b0f7a49986cd,DIK,"Dickinson, ND",North Dakota,USA
42d03d3d-9bca-4598-afb5-e4d36a3e2030,KOA,"Kona, HI",Hawaii,USA
7127db00-8988-4e79-8ae1-edb8a7426e37,CGI,"Cape Girardeau, MO",Missouri,USA
c2e4657c-b142-451a-b0e6-1ed18953d65e,CRP,"Corpus Christi, TX",Texas,USA
51348ef7-b794-4d1d-a9dc-bff7366067c0,OTH,"North Bend/Coos Bay, OR",Oregon,USA
13b64a77-cd56-4e4e-a933-4a7a398285d7,DRT,"Del Rio, TX",Texas,USA
b7e0d682-f589-43dc-8e63-7bb000ca4b0d,PSC,"Pasco/Kennewick/Richland, WA",Washington,USA
c01d509f-8a10-4948-9671-9364dcf00f21,DAB,"Daytona Beach, FL",Florida,USA
49d2c439-e80d-4399-84d0-cae034056167,CHO,"Charlottesville, VA",Virginia,USA
7ef915ad-c2ab-4015-a9c9-eb0fcb56b807,CLT,"Charlotte, NC",North Carolina,USA
a6ba7dff-ffb4-4b6f-b001-697014f07a42,AZO,"Kalamazoo, MI",Michigan,USA
96ef75b0-b20c-4779-a5bc-b36d20c84d19,BUR,"Burbank, CA",California,USA
a2479f1c-553c-4495-9162-66655d8155c2,LCK,"Columbus, OH",Ohio,USA
7ba42796-5f09-4831-b5e3-230d8b21b31d,GUM,"Guam, TT",U.S. Pacific Trust Territories and Possessions,USA
ce68ef5f-61ef-4c1f-8ddc-263424425048,TUL,"Tulsa, OK",Oklahoma,USA
fd560e64-6f44-47e7-a88e-fc702eaca2f7,PHF,"Newport News/Williamsburg, VA",Virginia,USA
9c47aee3-6b6f-45f7-a5bc-e3d5051de9e7,OWB,"Owensboro, KY",Kentucky,USA
9cde2eab-1970-487b-bae5-b1973bae29d1,BTM,"Butte, MT",Montana,USA
